Title,URL,latitude,longitude,Type
Sputnik,"https://www.google.com/maps/place/Sputnik/@39.7164026,-104.9877531,17z/data=!3m1!4b1!4m6!3m5!1s0x876c7f1fbc11b90b:0x97dacf69a37ea149!8m2!3d39.7164026!4d-104.9877531!16s%2Fg%2F1tf16c99?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.7164026,-104.9877531,Vintage
Mutiny Comics and Coffee,"https://www.google.com/maps/place/Mutiny+Comics+and+Coffee/@39.6534477,-104.987856,17z/data=!3m1!4b1!4m6!3m5!1s0x876c7f1fbeb0ef65:0xd941ff48d16a810c!8m2!3d39.6534477!4d-104.987856!16s%2Fg%2F1tj33mlw?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.6534477,-104.987856,Vintage
KPOP NARA NYC,"https://www.google.com/maps/place/KPOP+NARA+NYC/@40.7470553,-73.9885579,17z/data=!3m1!4b1!4m6!3m5!1s0x89c2593f422c4427:0xda2384967fb4e783!8m2!3d40.7470553!4d-73.9885579!16s%2Fg%2F11s7lm_015?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7470553,-73.9885579,Digital
Buddy's,"https://www.google.com/maps/place/Buddy's/@40.7407267,-73.9820586,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25963d1375fa7:0x6cf6df9a2f42f6f5!8m2!3d40.7407267!4d-73.9820586!16s%2Fg%2F11ylbt6jf4?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7407267,-73.9820586,Digital
Untitled at 3 Freeman Alley,"https://www.google.com/maps/place/Untitled+at+3+Freeman+Alley/@40.7218606,-73.9926692,17z/data=!3m1!4b1!4m9!3m8!1s0x89c2594cb9280e7b:0xcc2ab32a33f7d4c2!5m2!4m1!1i2!8m2!3d40.7218606!4d-73.9926692!16s%2Fg%2F11qg456g0t?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7218606,-73.9926692,Digital
The Flower Shop,"https://www.google.com/maps/place/The+Flower+Shop/@40.7181476,-73.9922533,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25987a20e0bc5:0xa5058fa207033028!8m2!3d40.7181476!4d-73.9922533!16s%2Fg%2F11c575hr9_?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7181476,-73.9922533,Digital
Japan Village,"https://www.google.com/maps/place/Japan+Village/@40.6560483,-74.0066468,17z/data=!4m15!1m8!3m7!1s0x89c25ac09e05631d:0xdf2e80543bf1923a!2s934+3rd+Ave,+Brooklyn,+NY+11232!3b1!8m2!3d40.6560483!4d-74.0066468!16s%2Fg%2F11cskxm52f!3m5!1s0x89c25abf14eaaaab:0x78530e98b3cc75f2!8m2!3d40.656103!4d-74.0064373!16s%2Fg%2F11hdcd1zpw?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.6560483,-74.0066468,Digital
Brooklyn Museum,"https://www.google.com/maps/place/Brooklyn+Museum/@40.6712062,-73.9636306,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25b0a449c39c9:0xc62355aa46c985fa!8m2!3d40.6712062!4d-73.9636306!16zL20vMDJ2cXcz?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.6712062,-73.9636306,Digital
The Strip Club Photobooth Studio,"https://www.google.com/maps/place/The+Strip+Club+Photobooth+Studio/@41.9124953,-87.6777172,17z/data=!3m1!4b1!4m6!3m5!1s0x880fd30b6ed10583:0x9301947ad632ff7d!8m2!3d41.9124953!4d-87.6777172!16s%2Fg%2F11yq8xjtjb?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",41.9124953,-87.6777172,Vintage
Retrography,"https://www.google.com/maps/place/Retrography/@40.7151666,-73.9901329,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25b810156ee4d:0xab824608de8b99c!8m2!3d40.7151666!4d-73.9901329!16s%2Fg%2F11wx_tdw8g?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7151666,-73.9901329,Vintage
PIER 39,"https://www.google.com/maps/place/PIER+39/@37.808673,-122.409821,16z/data=!3m1!4b1!4m6!3m5!1s0x808580fc8bb3211d:0xbaf631600de6b39e!8m2!3d37.808673!4d-122.409821!16zL20vMDU2cXB0?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",37.808673,-122.409821,Vintage
Trabi-Museum,"https://www.google.com/maps/place/Trabi-Museum/@52.507481,13.3889097,17z/data=!3m1!4b1!4m6!3m5!1s0x47a851d179ead489:0xc163befd3b4a0dcb!8m2!3d52.507481!4d13.3889097!16s%2Fg%2F1ptvzgy6s?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",52.507481,13.3889097,Vintage
North Bowl,"https://www.google.com/maps/place/North+Bowl/@39.9644115,-75.1403237,17z/data=!3m1!4b1!4m6!3m5!1s0x89c6c8650550ab8f:0xca80ac1af7e4e55d!8m2!3d39.9644115!4d-75.1403237!16s%2Fg%2F1tp8__q0?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.9644115,-75.1403237,Vintage
Concourse,"https://www.google.com/maps/place/Concourse/@39.9531797,-75.1679223,16z/data=!3m1!4b1!4m6!3m5!1s0x89c6c631b871b229:0x8fe1235e04e9b75a!8m2!3d39.9531797!4d-75.1679223!16s%2Fg%2F11hcdq1jg8?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",39.9531797,-75.1679223,Vintage
Lou’s Athletic Club,"https://www.google.com/maps/place/Lou%E2%80%99s+Athletic+Club/@40.7002117,-73.9210791,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25dc1a2d85863:0xb6f8298201f35ee2!8m2!3d40.7002117!4d-73.9210791!16s%2Fg%2F11vkt4wt21?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7002117,-73.9210791,Vintage
Bootleg Bar,"https://www.google.com/maps/place/Bootleg+Bar/@40.6987447,-73.9172199,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25c199de885d9:0xc2247b30be5c3eff!8m2!3d40.6987447!4d-73.9172199!16s%2Fg%2F1q5bpchmw?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.6987447,-73.9172199,Vintage
Bushwick Country Club,"https://www.google.com/maps/place/Bushwick+Country+Club/@40.7110994,-73.9477951,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25957f737bc33:0x8e95828495f7bddd!8m2!3d40.7110994!4d-73.9477951!16s%2Fg%2F1thghyw5?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7110994,-73.9477951,Vintage
Union Pool,"https://www.google.com/maps/place/Union+Pool/@40.7149712,-73.9514538,16z/data=!3m1!4b1!4m6!3m5!1s0x89c259596cfc174d:0x86b6b9e123c6dd36!8m2!3d40.7149712!4d-73.9514538!16s%2Fm%2F0l7fn6s?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7149712,-73.9514538,Vintage
Twins Lounge,"https://www.google.com/maps/place/Twins+Lounge/@40.7263177,-73.9519866,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25920253af1a1:0x7b5e291dc8bee190!8m2!3d40.7263177!4d-73.9519866!16s%2Fg%2F11n1sj9qcx?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7263177,-73.9519866,Vintage
Thornes Marketplace,"https://www.google.com/maps/place/Thornes+Marketplace/@42.3184576,-72.6309253,17z/data=!3m1!4b1!4m6!3m5!1s0x89e6d744267753a9:0xd4b3a9def298d552!8m2!3d42.3184576!4d-72.6309253!16s%2Fg%2F1hc2w4q9v?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",42.3184576,-72.6309253,Vintage
The Cinema at Selfridges,"https://www.google.com/maps/place/The+Cinema+at+Selfridges/@51.5152923,-0.1520484,17z/data=!3m1!4b1!4m6!3m5!1s0x48761b2f75534fff:0x9f8c07aaea6171e0!8m2!3d51.5152923!4d-0.1520484!16s%2Fg%2F11bcdhjzrr?entry=ttu&g_ep=EgoyMDI2MDUyMC4wIKXMDSoASAFQAw%3D%3D",51.5152923,-0.1520484,Vintage
Tate Modern,"https://www.google.com/maps/place/Tate+Modern/@51.5075953,-0.0993564,16z/data=!3m1!4b1!4m6!3m5!1s0x487604a931761995:0x1ffc6f23e06b9be7!8m2!3d51.5075953!4d-0.0993564!16zL20vMDduYjU?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5075953,-0.0993564,Vintage
Mercato Metropolitano,"https://www.google.com/maps/place/Mercato+Metropolitano/@51.4984598,-0.0984096,17z/data=!3m1!4b1!4m6!3m5!1s0x487604a1478398d3:0x21dbf63818cd65e3!8m2!3d51.4984598!4d-0.0984096!16s%2Fg%2F11c0vbr_0f?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.4984598,-0.0984096,Vintage
Classic Football Shirts London,"https://www.google.com/maps/place/Classic+Football+Shirts+London/@51.5160825,-0.0728053,17z/data=!3m1!4b1!4m6!3m5!1s0x48761d664e145deb:0xf21e9a82ddd371a3!8m2!3d51.5160825!4d-0.0728053!16s%2Fg%2F11h2nlfpzh?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5160825,-0.0728053,Vintage
Coal Drops Yard,"https://www.google.com/maps/place/Coal+Drops+Yard/@51.5360313,-0.1265524,17z/data=!3m1!4b1!4m6!3m5!1s0x48761b17d4bbb45d:0x612712282880100b!8m2!3d51.5360313!4d-0.1265524!16s%2Fg%2F11h23hm31v?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5360313,-0.1265524,Vintage
Old Spitalfields Market,"https://www.google.com/maps/place/Old+Spitalfields+Market,+43+Brushfield+St,+London+E1+6AA,+UK/@51.5191988,-0.076888,17z/data=!3m1!4b1!4m6!3m5!1s0x48761cb3f233c4cf:0x9389f9e47cebd549!8m2!3d51.5191988!4d-0.076888!16s%2Fg%2F11pw196j4w?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5191988,-0.076888,Vintage
Netil House (Creative Workspace),"https://www.google.com/maps/place/Netil+House+(Creative+Workspace)/@51.5376468,-0.0577808,17z/data=!3m1!4b1!4m6!3m5!1s0x48761d90763d8601:0x861c7004d15a616!8m2!3d51.5376468!4d-0.0577808!16s%2Fg%2F11g2wnw3rz?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5376468,-0.0577808,Vintage
"The Hoxton, Shoreditch","https://www.google.com/maps/place/The+Hoxton,+Shoreditch/@51.5255754,-0.0828845,17z/data=!3m1!4b1!4m9!3m8!1s0x48761caff8e68d27:0x142290afec91a1d7!5m2!4m1!1i2!8m2!3d51.5255754!4d-0.0828845!16s%2Fg%2F1tdc98t6?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5255754,-0.0828845,Vintage
Battersea Power Station,"https://www.google.com/maps/place/Battersea+Power+Station/@51.4820203,-0.1444907,17z/data=!3m1!4b1!4m6!3m5!1s0x487604fd7f539fe1:0x96a0bfdb4e42515d!8m2!3d51.4820203!4d-0.1444907!16zL20vMHhzcTY?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.4820203,-0.1444907,Vintage
Waterstones,"https://www.google.com/maps/place/Waterstones/@51.522448,-0.132181,17z/data=!3m1!4b1!4m6!3m5!1s0x48761b2e564b14f7:0x6b2e0d91034007ab!8m2!3d51.522448!4d-0.132181!16s%2Fg%2F1tsr2ph8?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.522448,-0.132181,Vintage
Stills,"https://www.google.com/maps/place/Stills/@55.950679,-3.190253,17z/data=!3m1!4b1!4m6!3m5!1s0x4887c78ff3658ddf:0xa4fdbe38e18bfbe5!8m2!3d55.950679!4d-3.190253!16s%2Fg%2F1v76z6w_?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",55.950679,-3.190253,Vintage
Hackney Bridge,"https://www.google.com/maps/place/Hackney+Bridge/@51.5443905,-0.0214681,17z/data=!3m1!4b1!4m6!3m5!1s0x48761da207079e77:0x5eeb12809ca6eea1!8m2!3d51.5443905!4d-0.0214681!16s%2Fg%2F11k06pfwyb?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5443905,-0.0214681,Vintage
Rio Cinema,"https://www.google.com/maps/place/Rio+Cinema/@51.5496766,-0.0755165,17z/data=!3m1!4b1!4m6!3m5!1s0x48761c8c30e2e01f:0xc6fb4861ffc911f4!8m2!3d51.5496766!4d-0.0755165!16s%2Fm%2F011snh23?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5496766,-0.0755165,Vintage
"The Standard, London","https://www.google.com/maps/place/The+Standard,+London/@51.5295373,-0.1243078,17z/data=!3m1!4b1!4m9!3m8!1s0x48761b61c60a6e71:0x6743ee812c6413ad!5m2!4m1!1i2!8m2!3d51.5295373!4d-0.1243078!16s%2Fg%2F11h07n739h?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",51.5295373,-0.1243078,Vintage
Vintage House Chicago,"https://www.google.com/maps/place/Vintage+House+Chicago/@41.9080067,-87.6735154,17z/data=!3m1!4b1!4m6!3m5!1s0x880fd3a6b73278ab:0x48d1fc759cd55118!8m2!3d41.9080067!4d-87.6735154!16s%2Fg%2F11m5d9m5_4?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",41.9080067,-87.6735154,Vintage
The American,"https://www.google.com/maps/place/The+American/@49.2762792,-123.0996041,16z/data=!3m1!4b1!4m6!3m5!1s0x548671650c720d51:0xa29a73ad65059557!8m2!3d49.2762792!4d-123.0996041!16s%2Fg%2F11c30qtldz?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",49.2762792,-123.0996041,Vintage
Slice of Life Art Gallery Inc,"https://www.google.com/maps/place/Slice+of+Life+Art+Gallery+Inc/@49.2765784,-123.0704694,17z/data=!3m1!4b1!4m6!3m5!1s0x5486713e275b030d:0xf323844c67c4b2bb!8m2!3d49.2765784!4d-123.0704694!16s%2Fg%2F11c0sy9kl8?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",49.2765784,-123.0704694,Vintage
Hero's Welcome,"https://www.google.com/maps/place/Hero's+Welcome/@49.2501569,-123.1012526,17z/data=!3m1!4b1!4m6!3m5!1s0x548673129164b7d9:0x11e1dd376dc4b604!8m2!3d49.2501569!4d-123.1012526!16s%2Fg%2F11rk1pl9vz?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",49.2501569,-123.1012526,Vintage
The Hawk,"https://www.google.com/maps/place/The+Hawk/@33.7822944,-118.1973861,17z/data=!3m1!4b1!4m6!3m5!1s0x80dd3151d24a99c3:0xe7defadd62054b70!8m2!3d33.7822944!4d-118.1973861!16s%2Fg%2F11g8q97vtg?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",33.7822944,-118.1973861,Vintage
Alex's Bar,"https://www.google.com/maps/place/Alex's+Bar/@33.7827792,-118.1573886,17z/data=!3m1!4b1!4m6!3m5!1s0x80dd319fbe4ab0d5:0x4f8962da1022d1e7!8m2!3d33.7827792!4d-118.1573886!16s%2Fm%2F0k4zzp6?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",33.7827792,-118.1573886,Vintage
Blind Donkey,"https://www.google.com/maps/place/Blind+Donkey/@33.7690476,-118.1865789,16z/data=!3m1!4b1!4m6!3m5!1s0x80dd313c20ad94a3:0x2930a68ded61e382!8m2!3d33.7690476!4d-118.1865789!16s%2Fg%2F11bbrm9cbw?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",33.7690476,-118.1865789,Vintage
